,date,votes,pchs
179,2021-04-16 00:00:00,10,0.69
180,2021-04-16 00:15:00,8,0.25363636363636366
181,2021-04-16 00:30:00,4,-0.05090909090909093
182,2021-04-16 00:45:00,6,0.0990909090909091
183,2021-04-16 01:00:00,4,0.03909090909090909
184,2021-04-16 01:15:00,-4,-0.12818181818181815
185,2021-04-16 01:30:00,-2,-0.022727272727272724
186,2021-04-16 01:45:00,6,0.18181818181818182
187,2021-04-16 02:00:00,-2,-0.08999999999999998
188,2021-04-16 02:15:00,-12,-0.21636363636363634
189,2021-04-16 02:30:00,2,0.08454545454545451
190,2021-04-16 02:45:00,4,0.07636363636363636
191,2021-04-16 03:00:00,-2,-0.010000000000000002
192,2021-04-16 03:15:00,-2,0.0036363636363636346
193,2021-04-16 03:30:00,10,0.2490909090909091
194,2021-04-16 03:45:00,10,0.3181818181818182
195,2021-04-16 04:00:00,6,0.05727272727272726
196,2021-04-16 04:15:00,8,0.15363636363636363
197,2021-04-16 04:30:00,6,0.08454545454545455
198,2021-04-16 04:45:00,10,0.2818181818181818
199,2021-04-16 05:00:00,10,0.43636363636363634
200,2021-04-16 05:15:00,6,-0.009999999999999983
201,2021-04-16 05:30:00,8,0.2072727272727273
202,2021-04-16 05:45:00,8,0.17181818181818181
203,2021-04-16 06:00:00,10,0.40181818181818174
204,2021-04-16 06:15:00,10,0.4554545454545455
205,2021-04-16 06:30:00,8,0.3245454545454545
206,2021-04-16 06:45:00,6,0.10181818181818182
207,2021-04-16 07:00:00,6,0.1709090909090909
208,2021-04-16 07:15:00,0,-0.03727272727272727
209,2021-04-16 07:30:00,-4,-0.1590909090909091
210,2021-04-16 07:45:00,-2,-0.01909090909090909
211,2021-04-16 08:00:00,10,0.28272727272727277
212,2021-04-16 08:15:00,10,0.4627272727272727
213,2021-04-16 08:30:00,10,0.5045454545454545
214,2021-04-16 08:45:00,10,0.390909090909091
215,2021-04-16 09:00:00,10,1.129090909090909
216,2021-04-16 09:15:00,8,0.5818181818181818
217,2021-04-16 09:30:00,6,0.23909090909090908
218,2021-04-16 09:45:00,8,0.5781818181818182
219,2021-04-16 10:00:00,6,0.32909090909090916
220,2021-04-16 10:15:00,10,0.46545454545454545
221,2021-04-16 10:30:00,0,-0.0790909090909091
222,2021-04-16 10:45:00,0,0.01727272727272727
223,2021-04-16 11:00:00,10,1.0890909090909089
224,2021-04-16 11:15:00,10,1.0481818181818183
225,2021-04-16 11:30:00,8,0.7081818181818181
226,2021-04-16 11:45:00,10,0.6327272727272727
227,2021-04-16 12:00:00,2,-0.020000000000000014
228,2021-04-16 12:15:00,2,0.10363636363636361
229,2021-04-16 12:30:00,-4,-0.6263636363636363
230,2021-04-16 12:45:00,-12,-0.8709090909090907
231,2021-04-16 13:00:00,-2,-0.06363636363636367
232,2021-04-16 13:15:00,-2,-0.0318181818181818
233,2021-04-16 13:30:00,-2,0.09000000000000001
234,2021-04-16 13:45:00,-4,-0.0063636363636363664
235,2021-04-16 14:00:00,-8,-0.29363636363636364
236,2021-04-16 14:15:00,-10,-0.5836363636363636
237,2021-04-16 14:30:00,-8,-0.31090909090909086
238,2021-04-16 14:45:00,-6,-0.20181818181818184
239,2021-04-16 15:00:00,-12,-0.5054545454545454
240,2021-04-16 15:15:00,-8,-0.16636363636363635
241,2021-04-16 15:30:00,-4,-0.06454545454545452
242,2021-04-16 15:45:00,0,0.09818181818181819
243,2021-04-16 16:00:00,2,0.13636363636363638
244,2021-04-16 16:15:00,6,0.33818181818181814
245,2021-04-16 16:30:00,4,0.07818181818181819
246,2021-04-16 16:45:00,8,0.21545454545454545
247,2021-04-16 17:00:00,-10,-0.38636363636363635
248,2021-04-16 17:15:00,-10,-0.24363636363636365
249,2021-04-16 17:30:00,-12,-0.5954545454545455
250,2021-04-16 17:45:00,-8,-0.14454545454545456
251,2021-04-16 18:00:00,0,0.18363636363636368
252,2021-04-16 18:15:00,-2,0.03363636363636364
253,2021-04-16 18:30:00,-12,-0.5818181818181819
254,2021-04-16 18:45:00,-12,-0.7372727272727272
255,2021-04-16 19:00:00,-10,-0.3772727272727273
256,2021-04-16 19:15:00,-8,-0.20636363636363636
257,2021-04-16 19:30:00,-2,0.04181818181818182
258,2021-04-16 19:45:00,0,0.2009090909090909
259,2021-04-16 20:00:00,0,0.05454545454545454
260,2021-04-16 20:15:00,2,0.10363636363636362
261,2021-04-16 20:30:00,-4,-0.10181818181818181
262,2021-04-16 20:45:00,-10,-0.35727272727272724
263,2021-04-16 21:00:00,-4,-0.06454545454545456
264,2021-04-16 21:15:00,-8,-0.20636363636363633
265,2021-04-16 21:30:00,-12,-0.65
266,2021-04-16 21:45:00,-12,-1.4700000000000002
267,2021-04-16 22:00:00,-10,-0.21
268,2021-04-16 22:15:00,-6,0.07363636363636358
269,2021-04-16 22:30:00,-4,0.15454545454545454
270,2021-04-16 22:45:00,-2,0.1790909090909091
271,2021-04-16 23:00:00,0,0.25181818181818183
272,2021-04-16 23:15:00,10,1.0745454545454545
273,2021-04-16 23:30:00,10,1.7663636363636366
