date,open,high,low,close,volume
2020-12-01 12:59:00+05:30,1129.6,1130.2,1129.55,1130,17427
2020-12-01 13:00:00+05:30,1130,1130,1129.95,1129.95,7418
2020-12-01 13:01:00+05:30,1130,1130.2,1129.95,1130.05,11042
2020-12-01 13:02:00+05:30,1130.1,1130.95,1130.1,1130.85,14123
2020-12-01 13:03:00+05:30,1130.85,1130.85,1130.05,1130.75,10761
2020-12-01 13:04:00+05:30,1130.75,1133.15,1130.7,1132.15,95022
2020-12-01 13:05:00+05:30,1132.1,1132.15,1131,1131.15,21192
2020-12-01 13:06:00+05:30,1131.2,1131.3,1131,1131,8398
2020-12-01 13:07:00+05:30,1131,1131.35,1131,1131.1,9399
2020-12-01 13:08:00+05:30,1131.05,1131.2,1131.05,1131.15,7192
2020-12-01 13:09:00+05:30,1131.15,1131.8,1131.15,1131.8,6477
2020-12-01 13:10:00+05:30,1131.75,1132.2,1131.1,1131.5,17223
2020-12-01 13:11:00+05:30,1131.6,1131.95,1131.1,1131.8,15842
2020-12-01 13:12:00+05:30,1131.8,1131.95,1131.55,1131.75,3883
2020-12-01 13:13:00+05:30,1131.8,1131.85,1131.1,1131.15,9215
2020-12-01 13:14:00+05:30,1131.15,1131.15,1130.25,1130.3,8521
2020-12-01 13:15:00+05:30,1130.25,1130.3,1129.4,1129.4,10699
2020-12-01 13:16:00+05:30,1129.45,1130.75,1129.4,1130.35,9058
2020-12-01 13:17:00+05:30,1130.35,1131.55,1130.35,1131.5,9409
2020-12-01 13:18:00+05:30,1131.45,1131.6,1130.55,1130.8,13680
2020-12-01 13:19:00+05:30,1130.8,1130.8,1130.75,1130.8,4348
2020-12-01 13:20:00+05:30,1130.8,1130.8,1130.25,1130.4,7484
2020-12-01 13:21:00+05:30,1130.35,1130.9,1130.35,1130.85,6428
2020-12-01 13:22:00+05:30,1130.5,1130.95,1130.5,1130.95,4748
2020-12-01 13:23:00+05:30,1130.95,1131.4,1130.2,1130.4,8726
2020-12-01 13:24:00+05:30,1130.45,1131.2,1130.4,1131,7724
2020-12-01 13:25:00+05:30,1131.2,1131.2,1130.65,1130.8,10689
2020-12-01 13:26:00+05:30,1130.8,1130.8,1130.45,1130.65,6729
2020-12-01 13:27:00+05:30,1130.55,1130.7,1130.5,1130.5,5224
2020-12-01 13:28:00+05:30,1130.5,1131,1130.2,1130.7,10903
2020-12-01 13:29:00+05:30,1130.6,1131.2,1130.6,1131.15,8357
2020-12-01 13:30:00+05:30,1131.15,1131.25,1131,1131.1,6836
2020-12-01 13:31:00+05:30,1131.15,1131.2,1131.05,1131.05,5605
2020-12-01 13:32:00+05:30,1131.1,1132,1131.05,1132,26278
2020-12-01 13:33:00+05:30,1131.95,1132.5,1131.95,1132.2,21537
2020-12-01 13:34:00+05:30,1132.5,1132.5,1132.15,1132.45,7872
2020-12-01 13:35:00+05:30,1132.45,1132.45,1132.2,1132.35,9116
2020-12-01 13:36:00+05:30,1132.4,1132.4,1131.95,1132,12273
2020-12-01 13:37:00+05:30,1132,1132,1131.4,1131.45,6267
2020-12-01 13:38:00+05:30,1131.4,1131.55,1131.35,1131.45,6376
2020-12-01 13:39:00+05:30,1131.45,1132,1131.45,1131.75,11282
2020-12-01 13:40:00+05:30,1131.75,1131.75,1130.7,1131.15,11310
2020-12-01 13:41:00+05:30,1131.2,1131.5,1131.15,1131.45,4580
2020-12-01 13:42:00+05:30,1131.5,1131.55,1131.35,1131.35,6349
2020-12-01 13:43:00+05:30,1131.35,1131.5,1131,1131,14027
2020-12-01 13:44:00+05:30,1131.25,1131.25,1130.6,1130.85,6007
2020-12-01 13:45:00+05:30,1130.8,1131.5,1130.8,1131.5,6177
2020-12-01 13:46:00+05:30,1131.45,1131.5,1130.4,1131.25,9932
2020-12-01 13:47:00+05:30,1131.3,1131.45,1131.25,1131.45,4653
2020-12-01 13:48:00+05:30,1131.4,1131.45,1131.4,1131.45,3453
2020-12-01 13:49:00+05:30,1131.45,1131.55,1131.4,1131.55,7059
2020-12-01 13:50:00+05:30,1131.55,1131.75,1131.5,1131.55,8216
2020-12-01 13:51:00+05:30,1131.55,1131.65,1130.7,1130.8,9973
2020-12-01 13:52:00+05:30,1130.8,1131.45,1130.7,1131.45,4442
2020-12-01 13:53:00+05:30,1131.5,1131.55,1131.45,1131.5,6678
2020-12-01 13:54:00+05:30,1131.5,1131.65,1131.45,1131.6,6171
2020-12-01 13:55:00+05:30,1131.55,1131.65,1130.6,1130.75,8940
2020-12-01 13:56:00+05:30,1130.7,1130.8,1130.25,1130.5,10697
2020-12-01 13:57:00+05:30,1130.5,1131,1130.5,1130.9,6206
2020-12-01 13:58:00+05:30,1130.9,1131.4,1130.85,1131,10331
2020-12-01 13:59:00+05:30,1130.95,1131,1130.8,1131,4836
2020-12-01 14:00:00+05:30,1131,1131.15,1131,1131.15,4650
2020-12-01 14:01:00+05:30,1131.05,1131.25,1130.65,1130.7,12031
2020-12-01 14:02:00+05:30,1130.7,1130.85,1130.4,1130.6,8819
2020-12-01 14:03:00+05:30,1130.6,1130.8,1130.6,1130.75,5462
